Region;azote_moy;azote_ec;phk_moy;phk_ec;mgo_moy;mgo_ec;cereals;pommes de terre;legumes et fleurs ;fruits 
Alsace;1.58;0.76;6.81;0.95;311.65;213.1;49441;1638;4885;2306
Aquitaine;1.28;0.61;5.78;1.02;180.39;160.36;28078;32;23473;5875
Auvergne;1.89;0.88;5.87;1.03;365.99;405.22;16629;54;43;85
Basse-Normandie;2.08;1.01;6.06;0.97;151.79;88.49;29876;473;2656;2435
Bourgogne;1.78;0.95;6.5;1.08;158.38;101.13;37568;158;5441;585
Bretagne;2.29;0.77;5.76;0.77;163.25;87.25;23211;1086;33396;631
Centre;1.3;0.53;6.35;3.17;150.3;93.66;86071;2394;13342;2451
Champagne-Ardenne;1.89;0.73;7.43;0.77;182.00;153.56;55342;2248;343;0
Corse;0.95;0.42;6.07;0.78;342.66;267.76;985;160;3257;4728
Franche-Comté;2.1;1.13;6.18;0.87;221.77;216.93;27410;296;2658;40
Haute-Normandie;1.39;0.61;6.55;0.83;115.69;61.82;72505;19741;2652;2222
Ile-de-France;1.23;0.42;6.85;0.74;169.19;108.58;113865;30529;18700;363
Languedoc-Roussillon;0.93;0.55;6.99;1.16;247.31;194.78;5807;342;12225;13241
Limousin;1.86;0.86;5.2;0.78;191.28;200.66;8570;138;179;4053
Lorraine;2.28;1.03;6.91;0.89;324.54;411.65;59352;131;184;722
Midi-Pyrenees;1.23;0.54;6.1;1.12;226.71;193.72;31564;5;6837;6192
Nord-Pas-de-Calais;1.37;0.55;7.09;0.66;167.22;94.73;51554;19618;42014;0
Pays de la Loire;1.51;0.57;5.89;0.88;174.59;155.08;34920;690;19625;6021
Picardie;1.31;0.46;7.28;0.6;161.11;131.33;99217;17090;7973;30
Poitou-Charentes;1.84;0.85;6.87;1.06;228.3;171.84;49024;68;3270;643
Provence-Alpes-Côte d'Azur;1.15;0.93;7.51;0.72;267.37;207.85;7117;521;40931;29956
Rhône-Alpes;1.6;1.04;6.13;1.04;176.81;158.93;17612;576;16294;13661
